akt.citace;akt.název.vyhlášený;short_name;core_strong;degree_in;degree_out;knn_in;knn_out;knn_all;transitivity;page_rank_normal;hub_score;authority_score;eigen_centrality;burt_constraint;harmonic_centrality_in;harmonic_centrality_out;harmonic_centrality_all;betweenness;art_point;g_role;l_role
28/1945 Sb.;Dekret presidenta republiky o osídlení zemědělské půdy Němců, Maďarů a jiných nepřátel státu českými, slovenskými a jinými slovanskými zemědělci;Dekret o osídlení zemědělské půdy;FALSE;12;2;16,416666666666668;0,0000000000000000;40,3571428571429;0,5714285714285714;0,000642409541378798;2,82888581233343e-07;1,92596017810358e-05;1,02235978132377e-04;0,3693814642600945;171,649999999999;1,00000000000000;223,150000000001;0,00000000000000e+00;FALSE;none;none
100/1945 Sb.;Dekret presidenta republiky o znárodnění dolů a některých průmyslových podniků;Dekret o znárodnění dolů a průmyslu;FALSE;64;5;5,250000000000000;8,0000000000000000;15,8840579710145;0,1948051948051948;0,007928643254138603;1,61490159457696e-07;7,62628220798150e-08;4,16240089697933e-05;0,1341069908527723;176,633333333333;4,00000000000000;206,383333333332;1,13625671866580e+02;FALSE;none;none
101/1945 Sb.;Dekret presidenta republiky o znárodnění některých podniků průmyslu potravinářského;Dekret o znárodnění průmyslu potravinářského;FALSE;9;6;9,777777777777779;5,0000000000000000;41,0000000000000;0,4285714285714285;0,000734471848188230;1,95033509727975e-09;4,16897327502926e-08;3,30498762326368e-05;0,3709990404490075;166,800000000000;3,16666666666667;196,916666666666;0,00000000000000e+00;FALSE;none;none
128/1946 Sb.;Zákon o neplatnosti některých majetkově-právních jednání z doby nesvobody a o nárocích z této neplatnosti a z jiných zásahů do majetku vzcházejících;Zákon o neplatnosti jednání z doby nesvobody;FALSE;12;9;13,500000000000000;0,5555555555555556;28,4761904761905;0,2179487179487180;0,002296174430931705;5,61176357561173e-07;1,05477218071803e-05;6,21963750855186e-05;0,1652262536577192;184,349999999999;3,00000000000000;227,333333333335;6,02284856018270e+01;TRUE;none;none
255/1946 Sb.;Zákon o příslušnících československé armády v zahraničí a o některých jiných účastnících národního boje za osvobození;Zákon o příslušnících čs. armády v zahraničí;FALSE;44;7;19,681818181818183;1,8571428571428572;53,6274509803922;0,0980392156862745;0,001368455319964961;3,39386063341867e-08;4,16609747324379e-04;2,77121465899820e-03;0,1185778513258553;215,200000000001;8,16666666666667;264,066666666670;3,00704057676937e+03;TRUE;bridge;none
228/1946 Sb.;Zákon o rozhodčích soudech pro úpravu některých závazků národních podniků;Zákon o rozhodčích soudech;FALSE;7;6;4,428571428571429;2,5000000000000000;15,0000000000000;0,2363636363636364;0,000691687906622840;5,05308525493847e-10;9,56004053522259e-09;8,27725102121887e-07;0,2230864169321262;135,326190476191;6,16666666666667;174,066666666665;3,60876077361653e+01;FALSE;none;none
83/1946 Sb.;Zákon o pracovních (učebních) poměrech Němců, Maďarů, zrádců a jejich pomahačů;Zákon o poměrech Němců, Maďarů, zrádců a jejich pomahačů;FALSE;0;12;NA;0,0000000000000000;17,0000000000000;NA;0,000270826956513843;4,96515365635585e-07;0,00000000000000e+00;3,55017840323683e-19;1,0000000000000000;0,000000000000;1,00000000000000;165,099999999999;0,00000000000000e+00;FALSE;none;none
31/1947 Sb.;Zákon o některých zásadách při rozdělování nepřátelského majetku, konfiskovaného podle dekretu presidenta republiky ze dne 25. října 1945, č. 108 Sb., o konfiskaci nepřátelského majetku a Fondech národní obnovy;Zákon o zásadách při rozdělování nepřátelského majetku;FALSE;1;20;18,000000000000000;3,0000000000000000;41,9047619047619;0,1666666666666667;0,000299132837001047;1,31140595952550e-05;6,61581321250105e-09;5,43783225405293e-07;0,4214842598797238;107,482142857144;7,41666666666667;192,583333333333;1,20000000000000e+01;FALSE;none;none
90/1947 Sb.;Zákon o provedení knihovního pořádku stran konfiskovaného nepřátelského majetku a o úpravě některých právních poměrů vztahujících se na přidělený majetek;Zákon o provedení knihovního pořádku;FALSE;18;20;9,444444444444445;2,3999999999999999;32,7894736842105;0,3611111111111111;0,000666020717345972;1,55216582395750e-06;5,62009707126004e-07;5,22324414727011e-05;0,3109448609110195;132,776190476191;9,66666666666667;178,449999999999;5,82166666666667e+02;FALSE;bridge;none
142/1947 Sb.;Zákon o revisi první pozemkové reformy;Zákon o revisi první pozemkové reformy;FALSE;10;29;29,100000000000001;12,1034482758620694;44,1025641025641;0,2761904761904762;0,000499198751323006;7,75476965307920e-06;4,01362500195701e-05;2,95124948880909e-04;0,2518285964368021;171,433333333333;12,50000000000000;234,483333333335;1,49101651453992e+03;FALSE;bridge;none
114/1948 Sb.;Zákon o znárodnění některých dalších průmyslových a jiných podniků a závodů a o úpravě některých poměrů znárodněných a národních podniků;Zákon o znárodnění dalších průmyslových a jiných podniků;FALSE;7;10;31,428571428571427;5,0000000000000000;57,1176470588235;0,6666666666666666;0,004467050321428632;3,25055850693802e-09;4,26513617819665e-06;1,99305757746051e-05;0,7316176576068270;168,833333333333;2,66666666666667;205,216666666666;1,98663899107412e+01;FALSE;none;none
115/1948 Sb.;Zákon o znárodnění dalších průmyslových a jiných výrobních podniků a závodů v oboru potravinářském a o úpravě některých poměrů znárodněných a národních podniků tohoto oboru;Zákon o znárodnění dalších podniků v oboru potravinářském;FALSE;2;10;12,000000000000000;6,2999999999999998;39,5000000000000;0,6000000000000000;0,000361916463093119;3,85170353564664e-08;4,26274287127197e-06;1,82505471586686e-05;0,6151390600072641;158,366666666666;4,66666666666667;205,716666666666;3,09488548114340e+01;FALSE;none;none
118/1948 Sb.;Zákon o organisaci velkoobchodní činnosti a o znárodnění velkoobchodních podniků;Zákon o znárodnění velkoobchodních podniků;FALSE;20;5;3,650000000000000;6,2000000000000002;19,5600000000000;0,4285714285714285;0,001070383885121626;1,02118115106146e-09;4,27116828974167e-06;2,15738909362964e-05;0,2770092665421728;160,833333333333;7,16666666666667;207,466666666666;4,46576361783377e+02;FALSE;none;none
119/1948 Sb.;Zákon o státní organisaci zahraničního obchodu a mezinárodního zasilatelství;Zákon o organisaci zahraničního obchodu;FALSE;3;10;7,333333333333333;6,2000000000000002;30,6923076923077;0,3777777777777778;0,000509792862809256;1,62699279267960e-07;1,23542451771356e-09;4,14560642025844e-07;0,3050988291689193;125,159523809525;10,00000000000000;179,633333333332;1,85932058525279e+01;FALSE;none;none
120/1948 Sb.;Zákon o znárodnění obchodních podniků s 50 nebo více činnými osobami;Zákon o znárodnění obchodních podniků;FALSE;2;8;10,500000000000000;5,6250000000000000;23,6000000000000;0,6666666666666666;0,000339511607303129;1,27440593968861e-07;4,26273727687222e-06;1,82462312370559e-05;0,5908395847133958;155,750000000000;6,83333333333333;203,300000000000;2,70042133978510e+02;FALSE;none;none
121/1948 Sb.;Zákon o znárodnění ve stavebnictví;Zákon o znárodnění ve stavebnictví;FALSE;2;3;10,500000000000000;6,3333333333333330;41,4000000000000;0,3333333333333333;0,000339511607303129;4,56077806657624e-08;4,26273727687222e-06;1,82462312370557e-05;0,3076369979009118;155,750000000000;4,00000000000000;206,466666666666;8,20245022802722e+00;FALSE;none;none
122/1948 Sb.;Zákon o organisaci a znárodnění cestovních kanceláří;Zákon o znárodnění cestovních kanceláří;FALSE;1;13;0,000000000000000;5,0000000000000000;49,1428571428571;1,0000000000000000;0,000291754494062640;9,36256812482542e-08;6,87880501460962e-10;4,69672786916987e-19;0,5451196152298461;1,000000000000;6,50000000000000;164,316666666665;0,00000000000000e+00;FALSE;none;none
124/1948 Sb.;Zákon o znárodnění některých hostinských a výčepnických podniků a ubytovacích zařízení;Zákon o znárodnění hostinských a výčepnických podniků;FALSE;6;5;7,166666666666667;5,0000000000000000;26,8181818181818;0,4000000000000000;0,000399584528991664;9,10252344278215e-08;9,74247202672497e-06;3,82992314504256e-05;0,3329912421459981;167,300000000000;5,33333333333333;216,233333333334;6,06700285302100e+01;FALSE;none;none
125/1948 Sb.;Zákon o znárodnění přírodních léčivých zdrojů a lázní a o začlenění a správě konfiskovaného lázeňského majetku;Zákon o znárodnění přírodních léčivých zdrojů a lázní;FALSE;4;23;3,500000000000000;2,4782608695652173;34,4074074074074;0,3571428571428572;0,000432952308677702;7,54640172826228e-07;5,47117380141682e-06;1,98380444511026e-05;0,2102576698620121;157,016666666666;9,08333333333333;218,650000000001;2,09000380042539e+02;FALSE;none;none
126/1948 Sb.;Zákon o znárodnění některých šlechtitelských podniků;Zákon o znárodnění některých šlechtitelských podniků;FALSE;0;7;NA;13,8571428571428577;33,5714285714286;0,4000000000000000;0,000270826956513843;8,26102788017845e-07;0,00000000000000e+00;3,55017840323683e-19;0,2703634345992066;0,000000000000;11,50000000000000;175,783333333332;0,00000000000000e+00;FALSE;none;none
185/1948 Sb.;Zákon o zestátnění léčebných a ošetřovacích ústavů a o organisaci státní ústavní léčebné péče;Zákon o zestátnění léčebných a ošetřovacích ústavů;FALSE;2;4;5,000000000000000;14,2500000000000000;31,3333333333333;0,6000000000000000;0,000303826181528212;4,70054904802922e-08;5,47077309739386e-06;1,94334085098311e-05;0,3143800855169021;156,016666666666;8,11666666666667;213,766666666667;1,68012099832974e+02;FALSE;none;none
249/1948 Sb.;Zákon o zestátnění ústavů zemědělského a lesnického výzkumnictví a o jejich organisaci a správě;Zákon o zestátnění ústavů zemědělského;FALSE;0;5;NA;11,8000000000000007;42,8000000000000;0,3333333333333333;0,000270826956513843;3,42837206405466e-07;0,00000000000000e+00;3,55017840323683e-19;0,3015359261454943;0,000000000000;11,00000000000000;174,449999999999;0,00000000000000e+00;FALSE;none;none
46/1948 Sb.;Zákon o nové pozemkové reformě (trvalé úpravě vlastnictví k zemědělské a lesní půdě);Zákon o nové pozemkové reformě;FALSE;10;14;29,100000000000001;5,1428571428571432;46,3750000000000;0,1969696969696970;0,000499198751323006;7,73485073222565e-06;4,01362500195701e-05;2,95124948880908e-04;0,1471986109873771;171,433333333333;10,66666666666667;231,650000000001;4,72202707469522e+02;FALSE;none;none
34/1953 Sb.;Zákon, jímž některé osoby nabývají československého státního občanství;Zákon o nabývaní čs. státního občanství;FALSE;3;1;27,333333333333332;0,0000000000000000;57,0000000000000;1,0000000000000000;0,000312172251106379;4,13762804653798e-08;5,51455692534441e-06;6,36508141081142e-05;0,6397597925750500;163,466666666666;1,00000000000000;212,233333333334;0,00000000000000e+00;FALSE;none;none
41/1953 Sb.;Zákon o peněžní reformě;Zákon o peněžní reformě;FALSE;1;2;0,000000000000000;0,0000000000000000;16,0000000000000;0,0000000000000000;0,000275831367666816;0,00000000000000e+00;1,29674304338066e-06;3,82635322467370e-19;0,3333333333333333;1,000000000000;2,00000000000000;188,083333333332;2,00000000000000e+00;TRUE;none;none
61/1956 Sb.;Zákonné opatření o těžbě rašelin;Zák. opatření o těžbě rašelin;FALSE;0;1;NA;46,0000000000000000;59,0000000000000;NA;0,000270826956513843;8,85411973186017e-07;0,00000000000000e+00;3,55017840323683e-19;1,0000000000000000;0,000000000000;152,73333333333281;201,916666666666;0,00000000000000e+00;FALSE;none;none
133/1985 Sb.;Zákon České národní rady o požární ochraně;Zákon o požární ochraně;TRUE;40;40;95,299999999999997;101,8499999999999943;269,0125000000000;0,3317073170731707;0,001586564313989976;2,27017605000829e-03;1,00654906242572e-03;1,22447519706433e-02;0,0713633227258234;257,783333333335;225,48333333333528;317,499999999997;3,74098287065401e+02;FALSE;auth_hub;auth_bridge
