akt.citace;kategorie;akt.název.vyhlášený;status;komentář
355/2019 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2020;NA;NA
600/2020 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2021;NA;NA
449/2022 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2023;NA;NA
57/2022 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2022;NA;NA
177/2023 Sb.;financování státu;Zákon o financování obrany České republiky a o změně zákona č. 218/2000 Sb., o rozpočtových pravidlech a o změně některých souvisejících zákonů (rozpočtová pravidla), ve znění pozdějších předpisů, (zákon o financování obrany);NA;NA
416/2023 Sb.;financování státu;Zákon o dorovnávacích daních pro velké nadnárodní skupiny a velké vnitrostátní skupiny;NA;NA
433/2023 Sb.;financování státu;Zákon o státním rozpočtu České republiky na rok 2024;NA;NA
232/2006 Sb.;financování státu;Zákon o přijetí úvěru Českou republikou od mezinárodní finanční instituce na financování investičních potřeb souvisejících s prováděním programu Výstavba a obnova infrastruktury vodovodů a kanalizací;obsoletní;Zákonem bylo umožněno přijetí úvěru Českou republikou, přičemž úvěr se měl vztahovat k financování konkrétního programu administrovaného Mze,  Z důvodu vysoké finanční náročnosti těchto opatření vyjednala Česká republika přechodné období na splnění předmětných opatření do konce roku 2010. Při přistoupení k EU se Česká republika zavázala splnit do konce roku 2010 požadavky vyplývajících ze směrnice Rady o čištění městských odpadních vod a dále směrnice o jakosti vody určené pro lidskou spotřebu. Celkové finanční náklady na realizaci odpovídajících opatření v oblasti vodovodů a kanalizací nutných ke splnění části závazků vyplývajících ze směrnice Rady č. 91/271/EHS, o čištění městských odpadních vod a ze směrnice Rady č. 98/83/EC, o jakosti vody určené pro lidskou spotřebu, byly odhadovány v letech 2006 - 2010 na částku ve výši cca 69 mld. Kč. Dle informací z otevřených zdrojů bylo právo přijmout úvěr realizováno podpisem smlouvy o úvěru dne 22.6.2006 (viz https://www.mfcr.cz/cs/zahranicni-sektor/mezinarodni-spoluprace/mezinarodni-instituce/eib-evropska-investicni-banka-11649). S ohledem na to, že úvěr byl vázán na již ukončený dotační program ke splnění závazků do konce roku 2010, i s přihlédnutím k existenci navazujících dotačních programů v pozdějších letech, je předpis obsoletní.
94/2009 Sb.;financování státu;Zákon o přijetí úvěru Českou republikou od Evropské investiční banky na financování investičních potřeb souvisejících s prováděním programu Výstavba a obnova infrastruktury vodovodů a kanalizací II.;obsoletní;Zákonem bylo umožněno přijetí úvěru Českou republikou, přičemž úvěr se měl vztahovat na financování investičních potřeb souvisejících s prováděním programu Výstavba a obnova infrastruktury vodovodů a kanalizací II., evidovaného v Informačním systému financování reprodukce majetku podle zvláštního právního předpisu (§ 12 a 13 zák. č. 218/2000 Sb.), a to do výše 3 000 000 000 Kč. Dle informací ze stránek Ministerstva financí (https://www.mfcr.cz/cs/zahranicni-sektor/mezinarodni-spoluprace/mezinarodni-instituce/eib-evropska-investicni-banka-11649) bylo právo přijmout úvěr realizováno podpisem smlouvy o úvěru dne 06.08.2009. S ohledem na to, že úvěr byl již České republice v plné výši poskytnut, je analyzovaný předpis obsoletní.
257/1992 Sb.;financování státu;Zákon o soudních poplatcích za řízení u Nejvyššího soudu České a Slovenské Federativní Republiky a u vojenských soudů;platný;Posuzovaný předpis nebyl zrušen. Ačkoliv došlo k zániku Nejvyššího soudu České a Slovenské Federativní Republiky a vojenských soudů, vyhláška č. 323/2002 Sb. o rozpočtové skladbě  stále počítá s dobíhajícími příjmy z poplatků podle posuzovaného předpisu.
10/1993 Sb.;financování státu;Zákon České národní rady o státním rozpočtu České republiky na rok 1993, o změně a doplnění některých zákonů České národní rady a některých dalších předpisů;platný;"Jedná se o rozpočtový zákon, který navíc novelizuje řadu dalších zákonů z oblasti sociálního zabezpečení, z nichž některé jsou platné (např. z. č. 589/1992 Sb., z. č. 551/1991 Sb., z. č. 589/1992 Sb.); předpis nebyl zrušen jako celek, nebyl ani nahrazen pozdější právní úpravou a je tedy platnou součástí právního řádu."
