pattern;scope;example;resolve_mode;resolve_value
(?i)Insolvenční zákon\.$;full;FALSE;value;182/2006
(?i)Obchodní zákoník\.$;full;FALSE;value;513/1991
(?i)Zákon o rodině\.$;full;FALSE;value;94/1963
(?i)Občanský soudní řád( č\. 99/1963 Sb\.)?(, ve znění pozdějších předpisů)?\.$;full;FALSE;value;99/1963
(?i)Občanský zákoník( č\. 40\/1964 Sb\.)?(, ve znění pozdějších předpisů \(úplné znění č\. 70\/1983 Sb\.\))?\.$;full;FALSE;value;89/2012
(?i)Soudní řád správní\.$;full;FALSE;value;150/2002
(?i)Správní řád\.$;full;FALSE;value;500/2004
(?i)Trestní řád\.$;full;FALSE;value;141/1961
(?i)Trestní zákon\.$;full;FALSE;value;140/1961
(?i)Trestní zákoník\.$;full;FALSE;value;40/2009
(?i)Zákon o nemocenském pojištění\.$;full;FALSE;value;187/2006
(?i)Zákon o ochraně hospodářské soutěže\.$;full;FALSE;value;143/2001
(?i)Zákon o správních poplatcích\.$;full;FALSE;value;634/2004
(?i)Zákon o soudních tlumočnících a soudních překladatelích\.$;full;FALSE;value;36/1967
(?i)Zákon o vysokých školách\.$;full;FALSE;value;111/1998
(?i)Zákoník práce\.$;full;FALSE;value;262/2006
(?i)Školský zákon\.$;full;FALSE;value;561/2004
(?i)Živnostenský zákon\.$;full;FALSE;value;455/1991
(?i)(Např\. |Například )branný zákon.$;full;TRUE;value;585/2004
(?i)(Např\. |Například )obchodní zákoník(, ve znění pozdějších předpisů)?\.$;full;TRUE;value;513/1991
(?i)(Např\. |Například )občanský zákoník\.$;full;TRUE;value;89/2012
(?i)(Např\. |Například )stavební zákon\.$;full;TRUE;value;283/2021
(?i)(Např\. |Například )trestní řád\.$;full;TRUE;value;141/1961
(?i)(Např\. |Například )živnostenský zákon\.$;full;TRUE;value;455/1991
(?i)\d{1,3}/\d{4} Sb\..*$;full;FALSE;pattern;\d{1,3}\/\d{4}
(?i)Zákon č. ?\d{1,3}/\d{4}( Sb\.)?.*$;full;FALSE;pattern;\d{1,3}\/\d{4}
(?i)zákonem č. ?\d{1,3}/\d{4}( Sb\.)?.*$;full;FALSE;pattern;\d{1,3}\/\d{4}
(?i)zákonů č. ?\d{1,3}/\d{4}( Sb\.)?.*$;full;FALSE;pattern;\d{1,3}\/\d{4}
(?i)zákonu č. ?\d{1,3}/\d{4}( Sb\.)?.*$;full;FALSE;pattern;\d{1,3}\/\d{4}
(?i)Hlava .* trestního řádu\.$;part;FALSE;value;141/1961
(?i)Hlava .* zákoníku práce\.$;part;FALSE;value;262/2006
(?i)Hlava .*(části .*)? občanského soudního řádu\.$;part;FALSE;value;99/1963
(?i)Část .* správního řádu\.$;part;FALSE;value;500/2004
(?i)Část .* obchodního zákoníku\.$;part;FALSE;value;513/1991
(?i)Část .* občanského soudního řádu\.$;part;FALSE;value;99/1963
(?i)Část .* zákoníku práce(, ve znění pozdějších předpisů)?\.$;part;FALSE;value;262/2006
(?i)(Např\. |Například )část .* zákoníku práce\.$;part;TRUE;value;262/2006
(?i)Zákona č. ?\d{1,3}/\d{4}( Sb\.)?.*$;part;FALSE;pattern;\d{1,3}\/\d{4}
