fragment.id;akt.citace;iri_z;iri_c;scope;example;odkaz.id
56750577;141/1961 Sb.;1961/141;1961/141;NA;NA;3405147
3331284;133/1985 Sb.;1985/133;1985/133;NA;NA;4846847
3426848;20/1987 Sb.;1987/20;1987/20;NA;NA;4963673
3530295;62/1988 Sb.;1988/62;1988/62;NA;NA;5150965
3892968;84/1990 Sb.;1990/84;1990/84;NA;NA;5323409
3996513;527/1990 Sb.;1990/527;1990/527;NA;NA;5349289
3996790;527/1990 Sb.;1990/527;1990/527;NA;NA;5352535
3996811;527/1990 Sb.;1990/527;1990/527;NA;NA;5432377
4170372;2/1991 Sb.;1991/2;1991/2;NA;NA;6178441
4443166;455/1991 Sb.;1991/455;1991/455;NA;NA;6190409
4442918;455/1991 Sb.;1991/455;1991/455;NA;NA;5874203
4443299;455/1991 Sb.;1991/455;1991/455;NA;NA;6386557
4443299;455/1991 Sb.;1991/455;1991/455;NA;NA;6386599
4443316;455/1991 Sb.;1991/455;1991/455;NA;NA;6386977
4443132;455/1991 Sb.;1991/455;1991/455;NA;NA;5510751
4456566;483/1991 Sb.;1991/483;1991/483;NA;NA;6398399
4757456;551/1991 Sb.;1991/551;1991/551;NA;NA;5993253
4757422;551/1991 Sb.;1991/551;1991/551;NA;NA;6218275
56337620;553/1991 Sb.;1991/553;1991/553;NA;NA;5736759
56337620;553/1991 Sb.;1991/553;1991/553;NA;NA;5736765
56241199;582/1991 Sb.;1991/582;2006/262;para;FALSE;5642059
56240489;582/1991 Sb.;1991/582;1991/582;NA;NA;6063731
56241062;582/1991 Sb.;1991/582;1991/582;NA;NA;6443367
56291014;21/1992 Sb.;1992/21;1992/21;NA;NA;6493317
56292113;21/1992 Sb.;1992/21;1992/21;NA;NA;6572833
56291034;21/1992 Sb.;1992/21;1992/21;NA;NA;6553601
56291156;21/1992 Sb.;1992/21;1992/21;NA;NA;6514907
56291272;21/1992 Sb.;1992/21;1992/21;NA;NA;6575359
56291272;21/1992 Sb.;1992/21;1992/21;NA;NA;6575379
56291272;21/1992 Sb.;1992/21;1992/21;NA;NA;6575399
56521847;114/1992 Sb.;1992/114;1992/114;NA;NA;6579983
56522138;114/1992 Sb.;1992/114;1992/114;NA;NA;6559637
56522138;114/1992 Sb.;1992/114;1992/114;NA;NA;6559651
56522140;114/1992 Sb.;1992/114;1992/114;NA;NA;6559777
5232757;229/1992 Sb.;1992/229;1992/229;NA;NA;6531607
5267146;246/1992 Sb.;1992/246;1992/246;NA;NA;7353431
5267159;246/1992 Sb.;1992/246;1992/246;NA;NA;7353681
5267641;246/1992 Sb.;1992/246;1992/246;NA;NA;6717359
5267708;246/1992 Sb.;1992/246;1992/246;NA;NA;6696429
5306514;334/1992 Sb.;1992/334;1992/334;NA;NA;6733975
5372570;358/1992 Sb.;1992/358;1992/358;NA;NA;7453997
5371718;358/1992 Sb.;1992/358;1992/358;NA;NA;7453403
5371807;358/1992 Sb.;1992/358;1992/358;NA;NA;7453339
5372044;358/1992 Sb.;1992/358;1992/358;NA;NA;7453135
5372083;358/1992 Sb.;1992/358;1992/358;NA;NA;7453007
5380965;360/1992 Sb.;1992/360;1992/360;NA;NA;7448293
5428270;478/1992 Sb.;1992/478;1992/478;NA;NA;6869167
5438242;523/1992 Sb.;1992/523;1992/523;NA;NA;6894837
5438242;523/1992 Sb.;1992/523;1992/523;NA;NA;6894861
5444364;539/1992 Sb.;1992/539;1992/539;NA;NA;7476991
56469450;586/1992 Sb.;1992/586;2000/128;para;TRUE;7681401
56469450;586/1992 Sb.;1992/586;2000/129;para;TRUE;7681821
56469450;586/1992 Sb.;1992/586;2000/131;para;TRUE;7682241
56467504;586/1992 Sb.;1992/586;1992/586;NA;NA;7156881
56466951;586/1992 Sb.;1992/586;1992/586;NA;NA;7748477
56466951;586/1992 Sb.;1992/586;1992/586;NA;NA;7748549
