fragment.id;from;to;to_upd;fragment.text_clean;source;akt.název.vyhlášený
9800;123/1920 Sb.;125/1920 Sb.;NA;Stížnost proti volbám upravuje zákon o volebním soudě.;annex;Zákon o volebním soudě.
67929;28/1945 Sb.;27/1945 Sb.;NA;(3) Ministerstvo zemědělství usměrňuje ústředně osidlování v rámci předpisů dekretu presidenta republiky ze dne 17. července 1945, č. 27 Sb., o jednotném řízení vnitřního osídlení, a přiděluje, přihlížejíc k okolnostem, uvedeným v žádosti, za součinnosti okresních rolnických komisí a příslušných okresních národních výborů podle potřeby a možnosti oprávněným uchazečům půdu ve výměře:;norms;Dekret presidenta republiky o jednotném řízení vnitřního osídlení
68768;50/1945 Sb.;16/1945 Sb.;NA;(4) Náhrada se neposkytuje za majetek osob, které jest považovati za státně nespolehlivé podle ustanovení dekretu presidenta republiky ze dne 19. května 1945, č. 5 Sb., o neplatnosti některých majetkově-právních jednání z doby nesvobody a o národní správě majetkových hodnot Němců, Maďarů, zrádců a kolaborantů a některých organisací a ústavů, nebo osob odsouzených podle ustanovení dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech, pokud v rozsudku bylo vysloveno propadnutí jmění. V pochybnostech rozhodne ministerstvo informací v dohodě s ministerstvem vnitra.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
71319;100/1945 Sb.;134/1946 Sb.;NA;"(5) K závazkům znárodněného podniku nepatří závazky, podle nichž má majetek tohoto podniku nebo jeho část přejíti po dni počátku účinnosti tohoto dekretu na třetí osobu. Za závazky znárodněného podniku se nepokládají také osobní daně, dávky a poplatky bývalého vlastníka; takové závazky nepřecházejí s majetkem, který byl začleněn do národního podniku nebo svěřen do správy orgánům podle odstavce 2 nebo s nímž bylo učiněno opatření nebo který byl přenechán podle § 4a, ani se nelze pro ně uspokojiti z majetku znárodněného podniku. Osobními daněmi a dávkami se rozumějí daň důchodová, válečný příspěvek, daň rentová přímo vybíraná, daň z majetku podle vládního nařízení č. 410/1942 Sb., majetkové dávky podle zákona č. 134/1946 Sb., o dávce z majetkového přírůstku a o dávce z majetku, a mimořádné dávky podle zákona č. 185/1947 Sb., o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku, ve znění zákona č. 180/1948 Sb. Způsob úhrady těchto osobních daní a dávek stanoví ministerstvo financí vyhláškou v příslušném úředním listě.";norms;Zákon o dávce z majetkového přírůstku a o dávce z majetku
71319;100/1945 Sb.;180/1948 Sb.;NA;"(5) K závazkům znárodněného podniku nepatří závazky, podle nichž má majetek tohoto podniku nebo jeho část přejíti po dni počátku účinnosti tohoto dekretu na třetí osobu. Za závazky znárodněného podniku se nepokládají také osobní daně, dávky a poplatky bývalého vlastníka; takové závazky nepřecházejí s majetkem, který byl začleněn do národního podniku nebo svěřen do správy orgánům podle odstavce 2 nebo s nímž bylo učiněno opatření nebo který byl přenechán podle § 4a, ani se nelze pro ně uspokojiti z majetku znárodněného podniku. Osobními daněmi a dávkami se rozumějí daň důchodová, válečný příspěvek, daň rentová přímo vybíraná, daň z majetku podle vládního nařízení č. 410/1942 Sb., majetkové dávky podle zákona č. 134/1946 Sb., o dávce z majetkového přírůstku a o dávce z majetku, a mimořádné dávky podle zákona č. 185/1947 Sb., o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku, ve znění zákona č. 180/1948 Sb. Způsob úhrady těchto osobních daní a dávek stanoví ministerstvo financí vyhláškou v příslušném úředním listě.";norms;Zákon, kterým se mění a doplňuje zákon ze dne 31. října 1947, č. 185 Sb., o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku
71319;100/1945 Sb.;185/1947 Sb.;NA;"(5) K závazkům znárodněného podniku nepatří závazky, podle nichž má majetek tohoto podniku nebo jeho část přejíti po dni počátku účinnosti tohoto dekretu na třetí osobu. Za závazky znárodněného podniku se nepokládají také osobní daně, dávky a poplatky bývalého vlastníka; takové závazky nepřecházejí s majetkem, který byl začleněn do národního podniku nebo svěřen do správy orgánům podle odstavce 2 nebo s nímž bylo učiněno opatření nebo který byl přenechán podle § 4a, ani se nelze pro ně uspokojiti z majetku znárodněného podniku. Osobními daněmi a dávkami se rozumějí daň důchodová, válečný příspěvek, daň rentová přímo vybíraná, daň z majetku podle vládního nařízení č. 410/1942 Sb., majetkové dávky podle zákona č. 134/1946 Sb., o dávce z majetkového přírůstku a o dávce z majetku, a mimořádné dávky podle zákona č. 185/1947 Sb., o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku, ve znění zákona č. 180/1948 Sb. Způsob úhrady těchto osobních daní a dávek stanoví ministerstvo financí vyhláškou v příslušném úředním listě.";norms;Zákon o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku
71341;100/1945 Sb.;16/1945 Sb.;NA;c) osobám fysickým a právnickým, které vyvíjely činnost proti státní svrchovanosti, samostatnosti, celistvosti, demokraticko-republikánské státní formě, bezpečnosti a obraně Československé republiky, které k takové činnosti podněcovaly nebo jiné osoby svésti hleděly, záměrně podporovaly jakýmkoliv způsobem německé nebo maďarské okupanty nebo které v době zvýšeného ohrožení republiky (§ 18 dekretu presidenta republiky ze dne 19. června 1945, č. 16 Sb., o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech) nadržovaly germanisaci nebo maďarisaci na území Československé republiky nebo se chovaly nepřátelsky k Československé republice nebo k českému nebo slovenskému národu, jakož i fysickým nebo právnickým osobám, které strpěly takovou činnost u osob spravujících jejich majetek nebo podnik.;norms;Dekret presidenta republiky o potrestání nacistických zločinců, zrádců a jejich pomahačů a o mimořádných lidových soudech
72276;101/1945 Sb.;134/1946 Sb.;NA;"(5) K závazkům znárodněného podniku nepatří závazky, podle nichž má majetek tohoto podniku nebo jeho část přejíti po dni počátku účinnosti tohoto dekretu na třetí osobu. Za závazky znárodněného podniku se nepokládají také osobní daně, dávky a poplatky bývalého vlastníka; takové závazky nepřecházejí s majetkem, který byl začleněn do národního podniku nebo svěřen do správy orgánům podle odstavce 2 nebo s nímž bylo učiněno opatření nebo, který byl přenechán podle § 4a, ani se nelze pro ně uspokojiti z majetku znárodněného podniku. Osobními daněmi a dávkami se rozumějí daň důchodová, válečný příspěvek, daň rentová přímo vybíraná, daň z majetku podle vládního nařízení č. 410/1942 Sb., majetkové dávky podle zákona č. 134/1946 Sb., o dávce z majetkového přírůstku a o dávce z majetku, a mimořádné dávky podle zákona č. 185/1947 Sb., o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku, ve znění zákona č. 180/1948 Sb. Způsob úhrady těchto osobních daní a dávek stanoví ministerstvo financí vyhláškou v příslušném úředním listě.";norms;Zákon o dávce z majetkového přírůstku a o dávce z majetku
72276;101/1945 Sb.;180/1948 Sb.;NA;"(5) K závazkům znárodněného podniku nepatří závazky, podle nichž má majetek tohoto podniku nebo jeho část přejíti po dni počátku účinnosti tohoto dekretu na třetí osobu. Za závazky znárodněného podniku se nepokládají také osobní daně, dávky a poplatky bývalého vlastníka; takové závazky nepřecházejí s majetkem, který byl začleněn do národního podniku nebo svěřen do správy orgánům podle odstavce 2 nebo s nímž bylo učiněno opatření nebo, který byl přenechán podle § 4a, ani se nelze pro ně uspokojiti z majetku znárodněného podniku. Osobními daněmi a dávkami se rozumějí daň důchodová, válečný příspěvek, daň rentová přímo vybíraná, daň z majetku podle vládního nařízení č. 410/1942 Sb., majetkové dávky podle zákona č. 134/1946 Sb., o dávce z majetkového přírůstku a o dávce z majetku, a mimořádné dávky podle zákona č. 185/1947 Sb., o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku, ve znění zákona č. 180/1948 Sb. Způsob úhrady těchto osobních daní a dávek stanoví ministerstvo financí vyhláškou v příslušném úředním listě.";norms;Zákon, kterým se mění a doplňuje zákon ze dne 31. října 1947, č. 185 Sb., o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku
72276;101/1945 Sb.;185/1947 Sb.;NA;"(5) K závazkům znárodněného podniku nepatří závazky, podle nichž má majetek tohoto podniku nebo jeho část přejíti po dni počátku účinnosti tohoto dekretu na třetí osobu. Za závazky znárodněného podniku se nepokládají také osobní daně, dávky a poplatky bývalého vlastníka; takové závazky nepřecházejí s majetkem, který byl začleněn do národního podniku nebo svěřen do správy orgánům podle odstavce 2 nebo s nímž bylo učiněno opatření nebo, který byl přenechán podle § 4a, ani se nelze pro ně uspokojiti z majetku znárodněného podniku. Osobními daněmi a dávkami se rozumějí daň důchodová, válečný příspěvek, daň rentová přímo vybíraná, daň z majetku podle vládního nařízení č. 410/1942 Sb., majetkové dávky podle zákona č. 134/1946 Sb., o dávce z majetkového přírůstku a o dávce z majetku, a mimořádné dávky podle zákona č. 185/1947 Sb., o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku, ve znění zákona č. 180/1948 Sb. Způsob úhrady těchto osobních daní a dávek stanoví ministerstvo financí vyhláškou v příslušném úředním listě.";norms;Zákon o mimořádné jednorázové dávce a mimořádné dávce z nadměrných přírůstků na majetku
