akt.citace;akt.název.vyhlášený;short_name;core_weak;core_strong;length;valid_from;n_ver;av_ver_life;int_n;ext_n;autonomy_coeff;int_link_dens;ext_link_dens;degree_in;degree_in_mult;degree_out;degree_out_mult;harmonic_centrality_in;harmonic_centrality_out;harmonic_centrality_all;knn_in;knn_out;knn_all;transitivity;page_rank_normal;hub_score;authority_score;betweenness;eigen_centrality;burt_constraint
28/1945 Sb.;Dekret presidenta republiky o osídlení zemědělské půdy Němců, Maďarů a jiných nepřátel státu českými, slovenskými a jinými slovanskými zemědělci;Dekret o osídlení zemědělské půdy;TRUE;FALSE;49;1945-07-26;1;28649,0416666666679;18;2;0,9000000000000000;0,36734693877551022;0,040816326530612242;7;12;1;2;166,134163059162233;0,5000000000000000;215,102319902319437;5,500000000000000;0,0000000000000000;15,85714285714286;0,5714285714285714;0,000588205471286098;4,82527614135691e-07;4,31998842550896e-05;0,00000000000000e+00;1,02234304757891e-04;0,3691564727257921
100/1945 Sb.;Dekret presidenta republiky o znárodnění dolů a některých průmyslových podniků;Dekret o znárodnění dolů a průmyslu;TRUE;FALSE;241;1945-10-27;6;4759,3333333333339;100;5;0,9523809523809523;0,41493775933609961;0,020746887966804978;20;64;3;5;161,817460317458711;3,0833333333333335;194,128571428570439;3,015625000000000;1,3999999999999999;6,33333333333333;0,1778656126482213;0,007246469356955647;1,99717957494590e-07;5,92812717593702e-08;1,04509563780004e+02;4,16236768857626e-05;0,1341069908527721
101/1945 Sb.;Dekret presidenta republiky o znárodnění některých podniků průmyslu potravinářského;Dekret o znárodnění průmyslu potravinářského;TRUE;FALSE;56;1945-10-27;4;7139,0000000000000;29;6;0,8285714285714286;0,51785714285714290;0,107142857142857137;7;9;1;6;158,650793650792082;0,7884920634920635;187,591071428570444;4,111111111111111;3,0000000000000000;15,20000000000000;0,4285714285714285;0,000671558993119003;1,23786449770200e-09;2,21003347593172e-08;0,00000000000000e+00;3,30497813204685e-05;0,3709990404490078
128/1946 Sb.;Zákon o neplatnosti některých majetkově-právních jednání z doby nesvobody a o nárocích z této neplatnosti a z jiných zásahů do majetku vzcházejících;Zákon o neplatnosti jednání z doby nesvobody;TRUE;FALSE;62;1946-06-17;2;14161,5208333333339;15;9;0,6250000000000000;0,24193548387096775;0,145161290322580655;10;12;3;9;176,850036075035064;1,5333333333333332;209,077380952379912;4,666666666666667;0,5555555555555556;12,33333333333333;0,2179487179487180;0,002099084897717811;7,99234038284530e-07;1,03484868863398e-05;7,93665002692915e+01;6,21962831205368e-05;0,1652262536577191
255/1946 Sb.;Zákon o příslušnících československé armády v zahraničí a o některých jiných účastnících národního boje za osvobození;Zákon o příslušnících čs. armády v zahraničí;TRUE;FALSE;175;1946-06-18;2;14161,0208333333339;98;7;0,9333333333333333;0,56000000000000005;0,040000000000000001;12;44;6;7;197,518192918192625;7,2833333333333332;240,847853535354744;8,500000000000000;0,8571428571428571;20,00000000000000;0,0980392156862745;0,001257823080897334;1,32103335088003e-08;1,55726229914015e-04;2,91977136642856e+03;2,77126051125661e-03;0,1185716854537734
228/1946 Sb.;Zákon o rozhodčích soudech pro úpravu některých závazků národních podniků;Zákon o rozhodčích soudech;TRUE;FALSE;75;1946-12-19;2;14068,9791666666679;9;6;0,6000000000000000;0,12000000000000000;0,080000000000000002;7;7;4;6;133,804076479077537;5,1166666666666663;172,335094072591602;2,285714285714286;1,3333333333333333;7,00000000000000;0,2363636363636364;0,000631466198732121;2,83898766946381e-10;1,15771537774458e-08;6,25171776099717e+01;8,27711341040355e-07;0,2230864169321262
83/1946 Sb.;Zákon o pracovních (učebních) poměrech Němců, Maďarů, zrádců a jejich pomahačů;Zákon o poměrech Němců, Maďarů, zrádců a jejich pomahačů;TRUE;FALSE;20;1946-05-03;1;28368,0000000000000;8;12;0,4000000000000000;0,40000000000000002;0,599999999999999978;0;0;1;12;0,000000000000000;0,0833333333333333;45,012185717619161;NA;0,0000000000000000;5,00000000000000;NA;0,000246952111832855;6,48979065768405e-07;0,00000000000000e+00;0,00000000000000e+00;4,96498695435711e-20;1,0000000000000000
31/1947 Sb.;Zákon o některých zásadách při rozdělování nepřátelského majetku, konfiskovaného podle dekretu presidenta republiky ze dne 25. října 1945, č. 108 Sb., o konfiskaci nepřátelského majetku a Fondech národní obnovy;Zákon o zásadách při rozdělování nepřátelského majetku;TRUE;FALSE;84;1947-03-17;1;28050,0000000000000;41;20;0,6721311475409836;0,48809523809523808;0,238095238095238082;1;1;3;20;88,187594350094813;1,8754329004329005;123,251680672269686;3,000000000000000;2,6499999999999999;16,14285714285714;0,1666666666666667;0,000272874109144660;4,80388585264552e-06;9,05147616654547e-09;1,20000000000000e+01;5,43761739949887e-07;0,4214842598797241
90/1947 Sb.;Zákon o provedení knihovního pořádku stran konfiskovaného nepřátelského majetku a o úpravě některých právních poměrů vztahujících se na přidělený majetek;Zákon o provedení knihovního pořádku;TRUE;FALSE;171;1947-06-10;1;27965,0416666666679;55;20;0,7333333333333333;0,32163742690058478;0,116959064327485374;3;18;6;20;102,759592205180155;5,8749999999999982;151,736284548784283;5,666666666666667;0,9500000000000000;14,00000000000000;0,3611111111111111;0,000609929348513058;2,60084859333263e-06;1,88813463468868e-07;6,19000000000000e+02;5,22311917044435e-05;0,3109448609110191
142/1947 Sb.;Zákon o revisi první pozemkové reformy;Zákon o revisi první pozemkové reformy;TRUE;FALSE;134;1947-08-12;2;13951,0208333333321;48;29;0,6233766233766234;0,35820895522388058;0,216417910447761180;6;10;9;29;156,699639249638096;7,6458333333333339;223,894780219780500;12,100000000000000;4,2413793103448274;16,61538461538462;0,2761904761904762;0,000459864667231796;3,18045271215927e-06;8,39930977918370e-05;4,41010832305866e+02;2,95122486714998e-04;0,2517341336662625
