fragment.id;iri;from;to;fragment.text_clean;source;iri_z;iri_c;scope;example
17751813;cast_1/hlava_1/par_2/odst_5;104/2008 Sb.;90/2012 Sb.;(5) Podílem na hlasovacích právech se rozumí přímý podíl hlasů plynoucích z účasti akcionáře ve společnosti na celkovém počtu hlasů plynoucích z účasti ve společnosti. Akcie, se kterými není spojeno hlasovací právo, se pro účely výpočtu podílu na hlasovacích právech považují za akcie bez hlasovacích práv i v případech, kdy jich podle zvláštního právního předpisu dočasně nabývají. Při výpočtu podílu na hlasovacích právech se nezohledňují hlasy z akcií v majetku cílové společnosti nebo jí ovládané osoby ani hlasy z akcií, které jsou drženy na účet cílové společnosti nebo jí ovládané osoby.;norms;2008/104;2012/90;para;FALSE
17751936;cast_1/hlava_3/par_17/odst_1/pism_d;104/2008 Sb.;90/2012 Sb.;d) získají účastnické cenné papíry plněním povinnosti vůči mimo stojícím akcionářům plynoucí ze smlouvy o převodu zisku nebo ovládací smlouvy podle zvláštního právního předpisu, nebo;norms;2008/104;2012/90;para;FALSE
17752070;cast_1/hlava_4/par_39/odst_1/pism_c;104/2008 Sb.;90/2012 Sb.;c) řídící osobu, která ve smlouvě o převodu zisku nebo v ovládací smlouvě převzala povinnost vůči mimo stojícím akcionářům uzavřít na písemnou žádost smlouvu o úplatném převodu jejich účastnických cenných papírů bez časového omezení podle zvláštního právního předpisu,;norms;2008/104;2012/90;para;FALSE
8914444;cast_1/par_16b/odst_1;106/1999 Sb.;500/2004 Sb.;(1) Rozhodnutí nadřízeného orgánu lze přezkoumat v přezkumném řízení, pro jehož vedení podle zvláštního právního předpisu je příslušný Úřad pro ochranu osobních údajů.;norms;1999/106;2004/500;part;FALSE
8914446;cast_1/par_16b/odst_3;106/1999 Sb.;500/2004 Sb.;(3) K opatřením proti nečinnosti nadřízeného orgánu podle zvláštního právního předpisu je příslušný Úřad pro ochranu osobních údajů.;norms;1999/106;2004/500;part;FALSE
8914415;cast_1/par_16/odst_6;106/1999 Sb.;500/2004 Sb.;(6) Při soudním přezkumu rozhodnutí o odvolání na základě žaloby podle zvláštního právního předpisu soud přezkoumá, zda jsou dány důvody pro odmítnutí žádosti. Nejsou-li žádné důvody pro odmítnutí žádosti, soud zruší rozhodnutí o odvolání a rozhodnutí povinného subjektu o odmítnutí žádosti a povinnému subjektu nařídí požadované informace poskytnout ve lhůtě, která nesmí být delší než 15 dní ode dne doručení rozsudku povinnému subjektu.;norms;1999/106;2004/500;part;FALSE
8927036;cast_4/par_36/odst_3;107/1999 Sb.;236/1995 Sb.;(3) Senát určí, kterému výboru nebo výborům bude příslušet projednávání návrhů legislativních aktů a závazných opatření orgánů Evropské unie, kterému výboru bude příslušet vyřizování peticí a kterému výboru bude příslušet stanovení některých náležitostí spojených s výkonem funkce podle zvláštního zákona. Senát rovněž určí, kterému výboru bude příslušet schvalování návrhu rozpočtu Kanceláře Senátu a kontrola jejího hospodaření.;norms;1999/107;1995/236;para;FALSE
7882479;cast_1/par_16/odst_3/pism_b;110/1997 Sb.;325/1999 Sb.;b) při zjišťování příčin poškození nebo ohrožení zdraví a zamezení šíření infekčních onemocnění nebo jiného poškození zdraví z potravin v bezpečnostních sborech s výjimkou Vězeňské služby České republiky, v Ministerstvu vnitra a organizačních složkách státu a příspěvkových organizacích zřízených v jeho působnosti, včetně jimi užívaných staveb a zařízení zřízených Ministerstvem vnitra podle jiného právního předpisu, a;norms;1997/110;1999/325;full;TRUE
7882480;cast_1/par_16/odst_3/pism_c;110/1997 Sb.;325/1999 Sb.;c) pro výrobu potravin, pro balení, krájení nebo jiný způsob dělení potravin a pro uvádění potravin na trh v bezpečnostních sborech s výjimkou Vězeňské služby České republiky, v Ministerstvu vnitra a organizačních složkách státu a příspěvkových organizacích zřízených v jeho působnosti, včetně jimi užívaných staveb a zařízení zřízených Ministerstvem vnitra podle jiného právního předpisu.;norms;1997/110;1999/325;full;TRUE
22968879;cast_1/hlava_3/par_39;110/2019 Sb.;104/2013 Sb.;Spravující orgán může na základě výhradně automatizovaného zpracování osobních údajů zasáhnout do práv a právem chráněných zájmů subjektu údajů nebo způsobit jiný obdobně závažný následek pro subjekt údajů, jen pokud to výslovně stanoví jiný zákon.;norms;2019/110;2013/104;full;TRUE
22968879;cast_1/hlava_3/par_39;110/2019 Sb.;141/1961 Sb.;Spravující orgán může na základě výhradně automatizovaného zpracování osobních údajů zasáhnout do práv a právem chráněných zájmů subjektu údajů nebo způsobit jiný obdobně závažný následek pro subjekt údajů, jen pokud to výslovně stanoví jiný zákon.;norms;2019/110;1961/141;full;TRUE
22968879;cast_1/hlava_3/par_39;110/2019 Sb.;17/2012 Sb.;Spravující orgán může na základě výhradně automatizovaného zpracování osobních údajů zasáhnout do práv a právem chráněných zájmů subjektu údajů nebo způsobit jiný obdobně závažný následek pro subjekt údajů, jen pokud to výslovně stanoví jiný zákon.;norms;2019/110;2012/17;full;TRUE
22968879;cast_1/hlava_3/par_39;110/2019 Sb.;2/1969 Sb.;Spravující orgán může na základě výhradně automatizovaného zpracování osobních údajů zasáhnout do práv a právem chráněných zájmů subjektu údajů nebo způsobit jiný obdobně závažný následek pro subjekt údajů, jen pokud to výslovně stanoví jiný zákon.;norms;2019/110;1969/2;full;TRUE
22968879;cast_1/hlava_3/par_39;110/2019 Sb.;269/1994 Sb.;Spravující orgán může na základě výhradně automatizovaného zpracování osobních údajů zasáhnout do práv a právem chráněných zájmů subjektu údajů nebo způsobit jiný obdobně závažný následek pro subjekt údajů, jen pokud to výslovně stanoví jiný zákon.;norms;2019/110;1994/269;full;TRUE
22968879;cast_1/hlava_3/par_39;110/2019 Sb.;273/2008 Sb.;Spravující orgán může na základě výhradně automatizovaného zpracování osobních údajů zasáhnout do práv a právem chráněných zájmů subjektu údajů nebo způsobit jiný obdobně závažný následek pro subjekt údajů, jen pokud to výslovně stanoví jiný zákon.;norms;2019/110;2008/273;full;TRUE
22968879;cast_1/hlava_3/par_39;110/2019 Sb.;300/2013 Sb.;Spravující orgán může na základě výhradně automatizovaného zpracování osobních údajů zasáhnout do práv a právem chráněných zájmů subjektu údajů nebo způsobit jiný obdobně závažný následek pro subjekt údajů, jen pokud to výslovně stanoví jiný zákon.;norms;2019/110;2013/300;full;TRUE
22968879;cast_1/hlava_3/par_39;110/2019 Sb.;341/2011 Sb.;Spravující orgán může na základě výhradně automatizovaného zpracování osobních údajů zasáhnout do práv a právem chráněných zájmů subjektu údajů nebo způsobit jiný obdobně závažný následek pro subjekt údajů, jen pokud to výslovně stanoví jiný zákon.;norms;2019/110;2011/341;full;TRUE
22968879;cast_1/hlava_3/par_39;110/2019 Sb.;555/1992 Sb.;Spravující orgán může na základě výhradně automatizovaného zpracování osobních údajů zasáhnout do práv a právem chráněných zájmů subjektu údajů nebo způsobit jiný obdobně závažný následek pro subjekt údajů, jen pokud to výslovně stanoví jiný zákon.;norms;2019/110;1992/555;full;TRUE
6497526;cast_1/par_2/odst_17;111/1994 Sb.;16/1993 Sb.;(17) Veřejným zájmem v oblasti kombinované dopravy se rozumí zájem na podpoře ekologicky šetrnějšího druhu dopravy. Podporou kombinované dopravy ve veřejném zájmu se rozumí sleva na dani podle zvláštního právního předpisu a další podpory poskytované v souladu s právem ES a s postupy v něm stanovenými.;norms;1994/111;1993/16;para;FALSE
56742345;cast_3/par_39a/odst_5;111/1998 Sb.;125/2008 Sb.;(5) Zaniká-li právnická osoba mající státní souhlas působit jako soukromá vysoká škola fúzí podle zvláštního právního předpisu s jinou nebo jinými právnickými osobami majícími státní souhlas působit jako soukromá vysoká škola (dále jen „přeměna“), přechází účinností přeměny oprávnění zanikající právnické osoby působit jako soukromá vysoká škola, její platné akreditace studijních programů nebo případného omezení akreditace i její studenti akreditovaných studijních programů na nástupnickou právnickou osobu, má-li tato sídlo, ústřední správu nebo hlavní místo podnikatelské činnosti na území některého členského státu Evropské unie nebo byla-li zřízena nebo založena podle práva některého členského státu Evropské unie.;norms;1998/111;2008/125;full;FALSE
56742822;cast_8/par_77c/odst_5/pism_b;111/1998 Sb.;110/2019 Sb.;b) osobám a orgánům, které prokáží oprávnění podle zvláštního zákona.;norms;1998/111;2019/110;part;FALSE
56743117;cast_10/par_87/odst_2/pism_c/bod_4;111/1998 Sb.;110/2019 Sb.;4. těm, kteří prokáží oprávnění podle zvláštního zákona,;norms;1998/111;2019/110;part;FALSE
56743474;cast_17/par_95c/odst_1;111/1998 Sb.;258/2000 Sb.;(1) Pokud z důvodu krizového opatření vyhlášeného podle krizového zákona nebo z důvodu nařízení mimořádného opatření podle zvláštního zákona není možná nebo je omezena osobní přítomnost studentů na vzdělávání nebo zkouškách anebo účastníků na státní rigorózní zkoušce, a pokud ministerstvo, popřípadě Ministerstvo obrany nebo Ministerstvo vnitra vůči příslušné státní vysoké škole toto svým rozhodnutím umožní, může vysoká škola;norms;1998/111;2000/258;part;FALSE
55733058;cast_1/hlava_2/par_23/odst_1;111/2009 Sb.;326/1999 Sb.;(1) Na základě podnětu subjektu údajů podaného prostřednictvím správního orgánu, který vede agendu evidence obyvatel, nebo správního orgánu, který vede agendu cizinců podle jiného právního předpisu, zajistí Ministerstvo vnitra nové pořízení agendového identifikátoru fyzické osoby v registru obyvatel.;norms;2009/111;1999/326;full;FALSE
55733068;cast_1/hlava_3/par_24/pism_a/bod_2;111/2009 Sb.;170/2018 Sb.;2. orgán veřejné moci, který uděluje oprávnění k činnosti podle jiného právního předpisu,;norms;2009/111;2018/170;full;FALSE
